bet-id,status,event-id,event-name,market-id,market-name,runner-id,runner-name,sport-id,sport-name,odds,stake,profit,time-placed,reports-currentscores
6292,"finished",26624,"AS Monaco vs Juventus",326238,"Handicap (0.25)",668590,"Monaco (+0.25)",15,"Soccer",-104,52,50,"22/04/2015 12:28",
6289,"finished",26624,"AS Monaco vs Juventus",326238,"Handicap (0.25)",668590,"Monaco (+0.25)",15,"Soccer",-104,31.2,30,"22/04/2015 12:13",
7362,"finished",29815,"Birkirkara vs West Ham",343091,"Handicap (1.5)",702376,"Birkirkara (+1.50)",15,"Soccer",-121,199.85,165.16,"22/07/2015 17:44",
7364,"finished",29815,"Birkirkara vs West Ham",343091,"Handicap (1.5)",702377,"West Ham (-1.50)",15,"Soccer",101,200,202,"22/07/2015 17:45",
6062,"finished",22967,"Bristol City vs Swindon Town",322067,"Handicap (-0.25)",660238,"Swindon Town (+0.25)",15,"Soccer",117,29.94,35.21,"07/04/2015 17:17",
5971,"finished",22967,"Bristol City vs Swindon Town",322066,"Match Odds",660247,"Bristol City",15,"Soccer",110,11,12.19,"07/04/2015 16:22",
6122,"finished",25428,"Bristol Rovers vs Southport",322148,"Total Goals (2.5)",660401,"OVER (+2.50)",15,"Soccer",-110,26.97,24.55,"08/04/2015 14:58",
5885,"finished",26065,"Chamois Niortais vs AC Arles-Avignon",321367,"Handicap (-0.75)",658861,"Niort (-0.75)",15,"Soccer",101,199.92,201.92,"03/04/2015 16:01",
6506,"finished",27219,"Club de Regatas Vasco da Gama vs Witbank Spurs",330272,"Handicap (-0.5)",675911,"Witbank Spurs (+0.50)",15,"Soccer",-133,9.95,7.51,"29/04/2015 14:22","0 - 0",
6815,"finished",27700,"Club Sportif Sfaxien vs ES Métlaoui",333583,"Handicap (-0.5)",682642,"Etoile Metlaoui (+0.50)",15,"Soccer",-114,9.95,8.73,"12/05/2015 16:43","0 - 0",
6813,"finished",27700,"Club Sportif Sfaxien vs ES Métlaoui",333583,"Handicap (-0.5)",682642,"Etoile Metlaoui (+0.50)",15,"Soccer",-114,9.95,8.73,"12/05/2015 16:43","0 - 0",
6811,"finished",27700,"Club Sportif Sfaxien vs ES Métlaoui",333583,"Handicap (-0.5)",682642,"Etoile Metlaoui (+0.50)",15,"Soccer",-114,9.95,8.73,"12/05/2015 16:43","0 - 0",
6809,"finished",27700,"Club Sportif Sfaxien vs ES Métlaoui",333583,"Handicap (-0.5)",682642,"Etoile Metlaoui (+0.50)",15,"Soccer",-112,9.99,8.92,"12/05/2015 16:41","0 - 0",
6807,"finished",27700,"Club Sportif Sfaxien vs ES Métlaoui",333583,"Handicap (-0.5)",682642,"Etoile Metlaoui (+0.50)",15,"Soccer",-112,9.99,8.92,"12/05/2015 16:41","0 - 0",
6805,"finished",27700,"Club Sportif Sfaxien vs ES Métlaoui",333583,"Handicap (-0.5)",682642,"Etoile Metlaoui (+0.50)",15,"Soccer",-112,9.99,8.92,"12/05/2015 16:41","0 - 0",
6821,"finished",27700,"Club Sportif Sfaxien vs ES Métlaoui",333593,"Total Goals (1.5)",682674,"UNDER (+1.50)",15,"Soccer",-128,9.99,7.81,"12/05/2015 16:44","0 - 0",
7054,"finished",27941,"Croatia U17 vs Italy U17",335006,"Handicap (0.0)",685577,"Croatia U17 (0.0)",15,"Soccer",-125,22,17.6,"19/05/2015 12:49",
